"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"W TAU";"4";"27";"57.19";"16";"2";"36.2";"248.7";"<9.9-10.8>";174;"rising";"MAX(27)";"fading";"fading";"fading";"fading";"MIN(19)";"rising";"rising";"rising";"MAX(3)";"fading";"fading"
"R TAU";"4";"28";"18";"10";"9";"44.7";"323.8";"<9.0-13.7>";126;"MAX(22)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising";"rising";"MAX(11)";"fading"
"S TAU";"4";"29";"11.75";"9";"56";"43.5";"368.3";"<9.9-15.7>";113;"fading";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading"
"R RET";"4";"33";"32.83";"-63";"1";"45";"278.1";"<7.4-13.3>";28;"rising";"rising";"rising";"MAX(5)";"fading";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"rising";"MAX(8)"
"RX TAU";"4";"38";"14.56";"8";"20";"9.2";"337.3";"<10.9-14.6>";32;"fading";"MIN(9)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(12)"
"T CAM";"4";"40";"8.87";"66";"8";"48.5";"375.4";"<8.6-13.6>";635;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"rising";"rising";"MAX(20)";"fading"
"R CAE";"4";"40";"30.09";"-38";"14";"7";"387.9";"<8.2-14.0>";36;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(22)";"fading"
"X CAM";"4";"45";"42.19";"75";"6";"3.4";"143.5";"<8.2-12.7>";306;"fading";"MIN(31)";"rising";"rising";"MAX(11)";"fading";"MIN(23)";"rising";"rising";"MAX(1)";"fading";"MIN(14)";"rising"
"V TAU";"4";"52";"2.29";"17";"32";"16.8";"168.3";"<9.1-13.2>";96;"MIN(5)";"rising";"MAX(28)";"fading";"fading";"MIN(22)";"rising";"rising";"MAX(15)";"fading";"fading";"MIN(6)";"rising"
"R ORI";"4";"59";"0.55";"8";"7";"49.6";"375.3";"<9.7-13.1>";115;"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising";"rising"
